ID,molecule,iso-slug,formula,dataset,abundance,Main column,Main format,QN label,QN format,ExoMol date,N states,N trans file,N trans,trans size readable,trans size bytes
69,SiN,29Si-14N,(29Si)(14N),SiNfull,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20220809,132335,1,43946969,510.6 MB,535422619
70,SiN,30Si-14N,(30Si)(14N),SiNfull,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20220809,132706,1,44223730,513.9 MB,538862364
71,SiO,28Si-16O,(28Si)(16O),SiOUVenIR,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20211105,174250,1,91395763,1.1 GB,1127696581
72,TiO,46Ti-16O,(46Ti)(16O),Toto,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20190514,301026,1,58355448,970.1 MB,1017233171
73,TiO,47Ti-16O,(47Ti)(16O),Toto,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20190514,301134,1,58746978,976.6 MB,1024005064
74,TiO,48Ti-16O,(48Ti)(16O),Toto,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20210825,301245,1,58983952,980.1 MB,1027730648
75,TiO,49Ti-16O,(49Ti)(16O),Toto,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20190514,301371,1,59324532,985.7 MB,1033574141
76,TiO,50Ti-16O,(50Ti)(16O),Toto,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20190514,301448,1,59675101,991.7 MB,1039918557
77,VO,51V-16O,(51V)(16O),HyVO,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20231218,3410598,90,58904173243,297.9 GB,319907832436
78,YO,89Y-16O,(89Y)(16O),BRYTS,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20230916,173621,1,60678140,719.1 MB,754061232
79,YO,89Y-17O,(89Y)(17O),BRYTS,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20230916,182598,1,62448157,740.9 MB,776925385
80,YO,89Y-18O,(89Y)(18O),BRYTS,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20230916,182547,1,64164605,761.9 MB,798945702
81,ZrO,90Zr-16O,(90Zr)(16O),ZorrO,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20230713,227118,1,47662773,369.3 MB,387233184
82,ZrO,91Zr-16O,(91Zr)(16O),ZorrO,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20230713,227118,1,47748501,370.1 MB,388035968
83,ZrO,92Zr-16O,(92Zr)(16O),ZorrO,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20230713,227124,1,47830250,370.8 MB,388772112
84,ZrO,93Zr-16O,(93Zr)(16O),ZorrO,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20230713,227126,1,47928979,371.6 MB,389611692
85,ZrO,94Zr-16O,(94Zr)(16O),ZorrO,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20230713,227128,1,47994352,372.1 MB,390148404
86,ZrO,96Zr-16O,(96Zr)(16O),ZorrO,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20230713,227134,1,48136388,373.3 MB,391449733
