id,filename,molecule,molhtml,moltag,molname,molmass,isoslug,isoformula,isohtml,isohtml,isotag,isohtml,isohtml,isomass,dataset
44,ZrO__91Zr-16O__ZorrO__(91Zr)(16O).csv,ZrO,ZrO,zro,Zirconium oxide,107.223000,91Zr-16O,(91Zr)(16O),<sup>91</sup>Zr<sup>16</sup>O,<sup>91</sup>Zr<sup>16</sup>O,91zr16o,<sup>91</sup>Zr<sup>16</sup>O,<sup>91</sup>Zr<sup>16</sup>O,106.900555,ZorrO
45,ZrO__92Zr-16O__ZorrO__(92Zr)(16O).csv,ZrO,ZrO,zro,Zirconium oxide,107.223000,92Zr-16O,(92Zr)(16O),<sup>92</sup>Zr<sup>16</sup>O,<sup>92</sup>Zr<sup>16</sup>O,92zr16o,<sup>92</sup>Zr<sup>16</sup>O,<sup>92</sup>Zr<sup>16</sup>O,107.899950,ZorrO
46,ZrO__93Zr-16O__ZorrO__(93Zr)(16O).csv,ZrO,ZrO,zro,Zirconium oxide,107.223000,93Zr-16O,(93Zr)(16O),<sup>93</sup>Zr<sup>16</sup>O,<sup>93</sup>Zr<sup>16</sup>O,93zr16o,<sup>93</sup>Zr<sup>16</sup>O,<sup>93</sup>Zr<sup>16</sup>O,108.901385,ZorrO
47,ZrO__94Zr-16O__ZorrO__(94Zr)(16O).csv,ZrO,ZrO,zro,Zirconium oxide,107.223000,94Zr-16O,(94Zr)(16O),<sup>94</sup>Zr<sup>16</sup>O,<sup>94</sup>Zr<sup>16</sup>O,94zr16o,<sup>94</sup>Zr<sup>16</sup>O,<sup>94</sup>Zr<sup>16</sup>O,109.901227,ZorrO
48,ZrO__96Zr-16O__ZorrO__(96Zr)(16O).csv,ZrO,ZrO,zro,Zirconium oxide,107.223000,96Zr-16O,(96Zr)(16O),<sup>96</sup>Zr<sup>16</sup>O,<sup>96</sup>Zr<sup>16</sup>O,96zr16o,<sup>96</sup>Zr<sup>16</sup>O,<sup>96</sup>Zr<sup>16</sup>O,111.903192,ZorrO
X,,H2CS,,,Thioformaldehyde,,(1H)2(12C)(32S),,,,,,,,MOTY
X,,NaO,,,Sodium monoxide,,(23Na)(16O),,,,,,,,NaOUCMe
X,,NaOH,,,Sodium hydroxide,,(23Na)(16O)(1H),,,,,,,,OYT5
X,,AlH,,,Aluminium hydride,,(27Al)(2H),,,,,,,,AloHa
X,,CaOH,,,Calcium hydroxide,,(40Ca)(16O)(1H),,,,,,,,OYT6
X,,TiO,,,Titanium oxide,,(46Ti)(16O),,,,,,,,Toto
X,,TiO,,,Titanium oxide,,(47Ti)(16O),,,,,,,,Toto
X,,TiO,,,Titanium oxide,,(49Ti)(16O),,,,,,,,Toto
X,,TiO,,,Titanium oxide,,(50Ti)(16O),,,,,,,,Toto
X,,VO,,,Vanadium oxide,,(51V)(16O),,,,,,,,HyVO
