"ID",molecule,iso-slug,formula,dataset,Tmax,vmin,vmax,mass,abundance,Main column,Main format,QN label,QN format,HR N lines
49,OH,16O-1H,(16O)(1H),MYTHOS,10000,126.292196,69090.697598,17.00274,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",48108
50,PN,31P-14N,(31P)(14N),PaiN,5000,1.567428,2646.893879,44.976836,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",44
51,SO,32S-16O,(32S)(16O),SOLIS,5000,1.000746,33095.359612,60.950822,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,ElecState,v,Lambda,Sigma,Omega","%1s,%12s,%3d,%3d,%5.1f,%5.1f",2501
52,SO2,32S-16O2,(32S)(16O)2,ExoAmes,2000,0.017393,4669.192635,41.980001,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,Ka,Kc,v1,v2,v3","%1s,%2d,%2d,%2d,%2d,%2d",1504495
53,ScO,45Sc-16O,(45Sc)(16O),LPB,5000,16431.098792,16561.402224,42.977035,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","e/f,ElecState,v,Sigma,N,Fi,Jpar","%1s,%12s,%3d,%5.1f,%5d,%2d,%1s",85
54,SiN,28Si-14N,(28Si)(14N),SiNfull,10000,126.644974,33921.155325,42.979569,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",670
55,SiN,28Si-15N,(28Si)(15N),SiNfull,10000,126.603309,33925.894909,43.976844,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",464
56,SiN,29Si-14N,(29Si)(14N),SiNfull,10000,126.634134,33922.376557,43.971841,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",464
57,SiN,30Si-14N,(30Si)(14N),SiNfull,10000,126.624051,33923.519705,47.966986,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",464
58,SiO,28Si-16O,(28Si)(16O),SiOUVenIR,10000,1.408256,52576.81703,63.9619,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",8729
59,TiO,48Ti-16O,(48Ti)(16O),Toto,8000,7.391149,24000.548053,63.942856,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",499775
60,VO,51V-16O,(51V)(16O),HyVO,5400,573.735343,17769.665166,66.938871,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",635722
61,YO,89Y-16O,(89Y)(16O),BRYTS,5000,0.7761,23970.6473,104.900756,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",25
62,YO,89Y-17O,(89Y)(17O),BRYTS,5000,0.702295,23961.090761,105.904973,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",25
63,YO,89Y-18O,(89Y)(18O),BRYTS,5000,0.702008,23961.244845,106.905001,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",25
64,ZrO,90Zr-16O,(90Zr)(16O),ZorrO,10000,0.845228,21113.412026,105.899613,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",145317
65,ZrO,91Zr-16O,(91Zr)(16O),ZorrO,10000,0.843824,19179.961087,106.900555,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",5164
66,ZrO,92Zr-16O,(92Zr)(16O),ZorrO,10000,0.842453,19179.997266,107.89995,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",5164
67,ZrO,93Zr-16O,(93Zr)(16O),ZorrO,10000,0.841108,19180.032795,108.901385,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",5164
68,ZrO,94Zr-16O,(94Zr)(16O),ZorrO,10000,0.839795,19180.067568,109.901227,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",5164
69,ZrO,96Zr-16O,(96Zr)(16O),ZorrO,10000,0.837246,19180.135171,111.903192,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",5164
